ID,VIDEOID,COMMENT,VIDEONAME
UgxbHncZKkHwutU00ft4AaABAg,QaZ93sibpk0,Is this scripted?,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugy-w0IisfBZUzRLvhB4AaABAg,QaZ93sibpk0,"<a href=""https://www.youtube.com/watch?v=QaZ93sibpk0&amp;t=5m40s"">5:40</a> it feels like she low key dising travis Scott on that one",73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugzcb4FT4O6HxUBookx4AaABAg,QaZ93sibpk0,Wer guckt auch nur das Haus von ihr an ,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugw2YCmSu7fpKdGHAbp4AaABAg,QaZ93sibpk0,My many talents ,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugx-o5ZQdnEQVdK0PEZ4AaABAg,QaZ93sibpk0,Kimkardashian and ray z,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzLTT5DdR1VJRTtnpV4AaABAg,QaZ93sibpk0,Di this with billie eilish,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgydJDtB07QgOZIUTW94AaABAg,QaZ93sibpk0,"<a href=""https://youtu.be/lbpMtxCO4aU"">https://youtu.be/lbpMtxCO4aU</a>",73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzmrHSL72lFnnJw0u94AaABAg,QaZ93sibpk0,OH MY GOD FLASHING LIGHTS AT THE BEGINNING AND KANYE OPENING THE DOOR LITERAL CHILLS GUYS,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgxP4HrpMFLRI6DXQvh4AaABAg,QaZ93sibpk0,FaisaL,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugy5E5hTF8DVVARoyjJ4AaABAg,QaZ93sibpk0,Why did she agree to do this if she doesnt like answering questions? ,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugy8dlwQH53iR_VSrh94AaABAg,QaZ93sibpk0,"This is so painfully awkward to watch.  In other news, that house is out of this world.",73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgyMXvXiHITUi8wbrI14AaABAg,QaZ93sibpk0,Camera Guy: Whats the most over used phrase?   Kim: Its Lit   Everyone Else: Yeah aIght!,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgyuPKArQJmF74ZoerJ4AaABAg,QaZ93sibpk0,"The house looks so empty, I wouldn&#39;t be comfortable living there. I mean, they&#39;re probably not living there.",73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzbAfRWDBgKu7DICtR4AaABAg,QaZ93sibpk0,Minimal Monastery,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgyWVUJ1d2JgiJt-GWp4AaABAg,QaZ93sibpk0,AWKWARDDDDDDD,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgxuDoT5Iog7Ra93HQh4AaABAg,QaZ93sibpk0,She is good at hiding discomfort and annoyance. I can sense some tension in the air after some time if you really play close attention..,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzmAdzBiRsdYsNCVdN4AaABAg,QaZ93sibpk0,so fake.,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgwCIN_VH1sPHnNZSCJ4AaABAg,QaZ93sibpk0,Kanye west needs ,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgwZCtsS0avTW9SCNIt4AaABAg,QaZ93sibpk0,This was messy lmao,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzcvaiWcuj21WWUWMF4AaABAg,QaZ93sibpk0,Im waiting for the part where Kanye &#39;Goes to the store and will be right back&#39;,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzVrxF7IvATXmZfWCd4AaABAg,QaZ93sibpk0, Kanye is a mad man ,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgxOOjPRP9crlFhrsUJ4AaABAg,QaZ93sibpk0,"Beautiful kids!  However, I was bored after about question 10, lol.  Ye is GONE! lol",73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgwdbHMoQT7DJPgyzX94AaABAg,QaZ93sibpk0,bill nye is great,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgyHIsaJNVxtm23CkSF4AaABAg,QaZ93sibpk0,OMG. KANYE SMILED!!!,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgwDPd1mTitpdQeHpUt4AaABAg,QaZ93sibpk0,I usually hate these segments because the interviewee is so unnatural and scripted. Kim seemed so natural and comfortable,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgzLo99PVJpJ8NcmzNt4AaABAg,QaZ93sibpk0,The thing I never thought I needed,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgyexR9Y8ujuRn5mAg14AaABAg,QaZ93sibpk0,73 QUESTIONS WITH BILLIE EILISH PLEASE,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgxC2IodGrIOHAnc_oZ4AaABAg,QaZ93sibpk0,wow vogue really knows how to draw people in...Kane smiling in the thumbnail?!,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgxlpN6sl-A1qE62ORl4AaABAg,QaZ93sibpk0,So kim can you afford a bra,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugw_bde5B0Gnk-Y_w0V4AaABAg,QaZ93sibpk0,I can tell she really hates answering questions. ,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgxWcMMKvG8jW2BtJX94AaABAg,QaZ93sibpk0,She walks backwards to hide the butt:0?,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
UgwDOQek1oi0TEbmbUN4AaABAg,QaZ93sibpk0,Real Fake News,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
Ugz6tt6IeKbcUnhwCJF4AaABAg,QaZ93sibpk0,I love their space it is so arty.,73 Questions With Kim Kardashian West (ft. Kanye West) | Vogue
